protein	compound	aveaffinty
CHEMBL2001	CHEMBL1784209	4800
CHEMBL2001	CHEMBL1784207	725
CHEMBL2001	CHEMBL568498	35
CHEMBL2001	CHEMBL601906	4.2
CHEMBL2001	CHEMBL1784218	530
CHEMBL2001	CHEMBL568127	331
CHEMBL2001	CHEMBL2172161	56
CHEMBL2001	CHEMBL568824	16
CHEMBL2001	CHEMBL569909	19
CHEMBL2001	CHEMBL538171	81
CHEMBL2001	CHEMBL600056	5.4
CHEMBL2001	CHEMBL556493	80
CHEMBL2001	CHEMBL550206	49.5
CHEMBL2001	CHEMBL600369	5.3
CHEMBL2001	CHEMBL557535	35.5
CHEMBL2001	CHEMBL592195	4.8
CHEMBL2001	CHEMBL601447	12
CHEMBL2001	CHEMBL569319	12
CHEMBL2001	CHEMBL590257	9.9
CHEMBL2001	CHEMBL1784195	6150
CHEMBL2001	CHEMBL1784205	330
CHEMBL2001	CHEMBL569995	1.3
CHEMBL2001	CHEMBL566599	2.9
CHEMBL2001	CHEMBL577454	9.4
CHEMBL2001	CHEMBL592886	9.9
CHEMBL2001	CHEMBL591367	8.4
CHEMBL2001	CHEMBL602108	5.9
CHEMBL2001	CHEMBL601484	2.6
CHEMBL2001	CHEMBL1784200	3200
CHEMBL2001	CHEMBL1784201	2000
CHEMBL2001	CHEMBL601271	5.5
CHEMBL2001	CHEMBL1672104	17100
CHEMBL2001	CHEMBL559340	49
CHEMBL2001	CHEMBL597772	5.7
CHEMBL2001	CHEMBL571584	3
CHEMBL2001	CHEMBL605964	3640
CHEMBL2001	CHEMBL570064	1.7
CHEMBL2001	CHEMBL601276	21
CHEMBL2001	CHEMBL578482	4.1
CHEMBL2001	CHEMBL603333	55
CHEMBL2001	CHEMBL570149	22
CHEMBL2001	CHEMBL567702	65
CHEMBL2001	CHEMBL1784214	3750
CHEMBL2001	CHEMBL569097	1
CHEMBL2001	CHEMBL557062	209
CHEMBL2001	CHEMBL551619	214
CHEMBL2001	CHEMBL561007	68
CHEMBL2001	CHEMBL590328	5.5
CHEMBL2001	CHEMBL591839	5.5
CHEMBL2001	CHEMBL1784224	260
CHEMBL2001	CHEMBL540736	40
CHEMBL2001	CHEMBL539983	33
CHEMBL2001	CHEMBL560748	31.5
CHEMBL2001	CHEMBL600371	4.5
CHEMBL2001	CHEMBL559259	115.5
CHEMBL2001	CHEMBL591185	3.7
CHEMBL2001	CHEMBL1784221	250
CHEMBL2001	CHEMBL589519	1.5
CHEMBL2001	CHEMBL591593	18
CHEMBL2001	CHEMBL541742	190
CHEMBL2001	CHEMBL538644	157
CHEMBL2001	CHEMBL549727	189
CHEMBL2001	CHEMBL550415	146
CHEMBL2001	CHEMBL602109	5.2
CHEMBL2001	CHEMBL585950	420
CHEMBL2001	CHEMBL585306	498
CHEMBL2001	CHEMBL553572	26
CHEMBL2001	CHEMBL1784222	535
CHEMBL2001	CHEMBL578094	1.4
CHEMBL2001	CHEMBL1784204	225
CHEMBL2001	CHEMBL598999	1190
CHEMBL2001	CHEMBL599202	1610
CHEMBL2001	CHEMBL589528	1430
CHEMBL2001	CHEMBL590069	3.5
CHEMBL2001	CHEMBL570238	3.1
CHEMBL2001	CHEMBL1784215	425
CHEMBL2001	CHEMBL570150	5.8
CHEMBL2001	CHEMBL568148	47
CHEMBL2001	CHEMBL1784197	210
CHEMBL2001	CHEMBL590259	31
CHEMBL2001	CHEMBL1784191	1375
CHEMBL2001	CHEMBL563041	27
CHEMBL2001	CHEMBL538645	48
CHEMBL2001	CHEMBL559126	64
CHEMBL2001	CHEMBL590673	5
CHEMBL2001	CHEMBL563183	42
CHEMBL2001	CHEMBL1784225	540
CHEMBL2001	CHEMBL551620	35
CHEMBL2001	CHEMBL549724	29
CHEMBL2001	CHEMBL568334	18
CHEMBL2001	CHEMBL1784189	350
CHEMBL2001	CHEMBL577508	660
CHEMBL2001	CHEMBL2172129	1.5
CHEMBL2001	CHEMBL2172162	56
CHEMBL2001	CHEMBL563429	99
CHEMBL2001	CHEMBL1784192	545
CHEMBL2001	CHEMBL556446	203
CHEMBL2001	CHEMBL599397	8.8
CHEMBL2001	CHEMBL591427	7.7
CHEMBL2001	CHEMBL590009	6.3
CHEMBL2001	CHEMBL569722	11
CHEMBL2001	CHEMBL602111	2.8
CHEMBL2001	CHEMBL570153	2.2
CHEMBL2001	CHEMBL570154	2.7
CHEMBL2001	CHEMBL598816	280
CHEMBL2001	CHEMBL2172163	33
CHEMBL2001	CHEMBL556330	18
CHEMBL2001	CHEMBL601483	1.7
CHEMBL2001	CHEMBL602294	18
CHEMBL2001	CHEMBL589520	3.8
CHEMBL2001	CHEMBL1784203	2400
CHEMBL2001	CHEMBL565542	5.9
CHEMBL2001	CHEMBL598388	1310
CHEMBL2001	CHEMBL556142	15
CHEMBL2001	CHEMBL577854	3
CHEMBL2001	CHEMBL565840	566
CHEMBL2001	CHEMBL1784216	415
CHEMBL2001	CHEMBL1784219	600
CHEMBL2001	CHEMBL601275	26
CHEMBL2001	CHEMBL2172142	193
CHEMBL2001	CHEMBL565618	100
CHEMBL2001	CHEMBL539732	24
CHEMBL2001	CHEMBL554782	28
CHEMBL2001	CHEMBL601270	31
CHEMBL2001	CHEMBL589282	5.5
CHEMBL2001	CHEMBL564552	43
CHEMBL2001	CHEMBL1782078	2050
CHEMBL2001	CHEMBL590747	4.6
CHEMBL2001	CHEMBL590004	2.6
CHEMBL2001	CHEMBL1784190	195
CHEMBL2001	CHEMBL552022	99
CHEMBL2001	CHEMBL1784196	1700
CHEMBL2001	CHEMBL566661	2100
CHEMBL2001	CHEMBL568774	12.5
CHEMBL2001	CHEMBL578714	7.6
CHEMBL2001	CHEMBL600574	7.6
CHEMBL2001	CHEMBL562485	157
CHEMBL2001	CHEMBL590743	6.5
CHEMBL2001	CHEMBL590260	1.7
CHEMBL2001	CHEMBL600055	3.2
CHEMBL2001	CHEMBL590364	3.3
CHEMBL2001	CHEMBL599605	209
CHEMBL2001	CHEMBL569127	42
CHEMBL2001	CHEMBL560009	11
CHEMBL2001	CHEMBL2172143	30
CHEMBL2001	CHEMBL592887	19
CHEMBL2001	CHEMBL590741	3.5
CHEMBL2001	CHEMBL598998	356
CHEMBL2001	CHEMBL570152	1.5
CHEMBL2001	CHEMBL539733	262.5
CHEMBL2001	CHEMBL598821	277
CHEMBL2001	CHEMBL590114	5
CHEMBL2001	CHEMBL590087	17
CHEMBL2001	CHEMBL601905	1.2
CHEMBL2001	CHEMBL555342	18
CHEMBL2001	CHEMBL589889	4
CHEMBL2001	CHEMBL589283	3.9
CHEMBL2001	CHEMBL592570	4.5
CHEMBL2001	CHEMBL589281	4.5
CHEMBL2001	CHEMBL590748	4.4
CHEMBL2001	CHEMBL1784223	375
CHEMBL2001	CHEMBL589828	6
CHEMBL2001	CHEMBL602112	5.9
CHEMBL2001	CHEMBL566447	130
CHEMBL2001	CHEMBL585317	259.5
CHEMBL2001	CHEMBL598160	7.5
CHEMBL2001	CHEMBL600577	7.4
CHEMBL2001	CHEMBL590939	7
CHEMBL2001	CHEMBL2021587	24
CHEMBL2001	CHEMBL566613	3
CHEMBL2001	CHEMBL603152	2.8
CHEMBL2001	CHEMBL1784202	1700
CHEMBL2001	CHEMBL589518	4
CHEMBL2001	CHEMBL589737	11
CHEMBL2001	CHEMBL596732	18
CHEMBL2001	CHEMBL567050	9.4
CHEMBL2001	CHEMBL552972	3.65
CHEMBL2001	CHEMBL540672	12
CHEMBL2001	CHEMBL592563	3.7
CHEMBL2001	CHEMBL550278	14
CHEMBL2001	CHEMBL592883	1.8
CHEMBL2001	CHEMBL592581	3.7
CHEMBL2001	CHEMBL601274	10
CHEMBL2001	CHEMBL1784212	105
CHEMBL2001	CHEMBL561692	373
CHEMBL2001	CHEMBL590003	7.9
CHEMBL2001	CHEMBL601704	4
CHEMBL2001	CHEMBL592802	4.2
CHEMBL2001	CHEMBL592880	4.5
CHEMBL2001	CHEMBL566874	117
CHEMBL2001	CHEMBL1784199	2030
CHEMBL2001	CHEMBL570295	0.53
CHEMBL2001	CHEMBL568772	1324.5
CHEMBL2001	CHEMBL560882	96
CHEMBL2001	CHEMBL556723	145
CHEMBL2001	CHEMBL590146	1.7
CHEMBL2001	CHEMBL592737	6.9
CHEMBL2001	CHEMBL599637	6.9
CHEMBL2001	CHEMBL591227	3.3
CHEMBL2001	CHEMBL567416	1.2
CHEMBL2001	CHEMBL597380	132
CHEMBL2001	CHEMBL568128	11
CHEMBL2001	CHEMBL566438	6.5
CHEMBL2001	CHEMBL596733	79
CHEMBL2001	CHEMBL569911	22
CHEMBL2001	CHEMBL567915	0.4
CHEMBL2001	CHEMBL589804	1.5
CHEMBL2001	CHEMBL590742	17
CHEMBL2001	CHEMBL2172144	40
CHEMBL2001	CHEMBL577630	11
CHEMBL2001	CHEMBL591619	14
CHEMBL2001	CHEMBL589719	11
CHEMBL2001	CHEMBL556522	11
CHEMBL2001	CHEMBL605565	733
CHEMBL2001	CHEMBL564150	14
CHEMBL2001	CHEMBL590798	3.6
CHEMBL2001	CHEMBL578335	20
CHEMBL2001	CHEMBL1784211	1150
CHEMBL2001	CHEMBL592806	3.7
CHEMBL2001	CHEMBL590258	13
CHEMBL2001	CHEMBL2172130	180
CHEMBL2001	CHEMBL549594	484
CHEMBL2001	CHEMBL589897	6.5
CHEMBL2001	CHEMBL601696	0.58
CHEMBL2001	CHEMBL1784198	136.5
CHEMBL2001	CHEMBL577844	2.5
CHEMBL2001	CHEMBL601698	0.98
CHEMBL2001	CHEMBL495605	614
CHEMBL2001	CHEMBL562406	95
CHEMBL2001	CHEMBL2172150	5
CHEMBL2001	CHEMBL590208	3.3
CHEMBL2001	CHEMBL565974	0.61
CHEMBL2001	CHEMBL590990	2.8
