cid,compound,aveaffinty
53359025,CHEMBL1779058,93.0
56658005,CHEMBL1813588,1352.0
56658007,CHEMBL1813599,201.0
56661544,CHEMBL1813596,38.5
56664947,CHEMBL1813587,1029.0
56664949,CHEMBL1813592,286.0
56664951,CHEMBL1813598,234.0
56675268,CHEMBL1813585,359.0
56678598,CHEMBL1813586,1311.0
56678600,CHEMBL1813597,52.7
56681924,CHEMBL1813589,865.0
56681926,CHEMBL1813593,27.2
56964794,CHEMBL2022272,42.0
57326583,CHEMBL2022271,210.0
57326584,CHEMBL2022273,798.0
71449737,CHEMBL2164349,15.0
71453386,CHEMBL2164345,252.0
71455082,CHEMBL2164352,550.0
71455083,CHEMBL2164354,385.0
71456889,CHEMBL2164348,69.0
71456890,CHEMBL2164351,807.0
71458040,CHEMBL2112913,6.5
71458739,CHEMBL2164347,184.0
71460561,CHEMBL2164346,35.0
71462265,CHEMBL2164353,56.8
71462266,CHEMBL2164355,291.0
71652196,CHEMBL2333732,34.0
71717830,CHEMBL2303762,47500.0
