protein	compound	aveaffinty
CHEMBL2581	CHEMBL211107	25
CHEMBL2581	CHEMBL1760734	900
CHEMBL2581	CHEMBL2349616	6340
CHEMBL2581	CHEMBL582828	69500
CHEMBL2581	CHEMBL583608	15400
CHEMBL2581	CHEMBL566011	2590
CHEMBL2581	CHEMBL378225	448
CHEMBL2581	CHEMBL2349486	21
CHEMBL2581	CHEMBL603118	840
CHEMBL2581	CHEMBL2349476	1760
CHEMBL2581	CHEMBL2322896	11000
CHEMBL2581	CHEMBL2349488	8096
CHEMBL2581	CHEMBL566978	63400
CHEMBL2581	CHEMBL1760731	1900
CHEMBL2581	CHEMBL425424	3600
CHEMBL2581	CHEMBL212321	3900
CHEMBL2581	CHEMBL213858	1700
CHEMBL2581	CHEMBL209847	150
CHEMBL2581	CHEMBL2349507	3709
CHEMBL2581	CHEMBL566633	8550
CHEMBL2581	CHEMBL2349466	59798
CHEMBL2581	CHEMBL1760729	5400
CHEMBL2581	CHEMBL589771	1100
CHEMBL2581	CHEMBL1760860	370
CHEMBL2581	CHEMBL2349619	249
CHEMBL2581	CHEMBL1760732	2300
CHEMBL2581	CHEMBL1941013	2000
CHEMBL2581	CHEMBL2349483	1224
CHEMBL2581	CHEMBL491348	42
CHEMBL2581	CHEMBL270359	36
CHEMBL2581	CHEMBL252755	10986
CHEMBL2581	CHEMBL567688	6700
CHEMBL2581	CHEMBL227641	483
CHEMBL2581	CHEMBL2179138	530
CHEMBL2581	CHEMBL2349468	1259
CHEMBL2581	CHEMBL2349490	1030
CHEMBL2581	CHEMBL447880	350
CHEMBL2581	CHEMBL1941012	39200
CHEMBL2581	CHEMBL2179130	8264
CHEMBL2581	CHEMBL2349485	329
CHEMBL2581	CHEMBL450491	510
CHEMBL2581	CHEMBL1760859	1200
CHEMBL2581	CHEMBL1760733	2000
CHEMBL2581	CHEMBL1098669	50
CHEMBL2581	CHEMBL401338	2116
CHEMBL2581	CHEMBL583888	16440
CHEMBL2581	CHEMBL390159	490
CHEMBL2581	CHEMBL567259	2050
CHEMBL2581	CHEMBL2349469	990
CHEMBL2581	CHEMBL508810	1950
CHEMBL2581	CHEMBL2349471	88464
CHEMBL2581	CHEMBL1760852	2400
CHEMBL2581	CHEMBL500251	1500
CHEMBL2581	CHEMBL1941009	17800
CHEMBL2581	CHEMBL1941006	28500
CHEMBL2581	CHEMBL591371	62
CHEMBL2581	CHEMBL583899	6220
CHEMBL2581	CHEMBL591644	240
CHEMBL2581	CHEMBL567061	8180
CHEMBL2581	CHEMBL213595	910
CHEMBL2581	CHEMBL448501	15
CHEMBL2581	CHEMBL365935	1730
CHEMBL2581	CHEMBL370086	241
CHEMBL2581	CHEMBL2349491	265
CHEMBL2581	CHEMBL2349614	295
CHEMBL2581	CHEMBL1941010	31900
CHEMBL2581	CHEMBL399749	11202
CHEMBL2581	CHEMBL252962	11700
CHEMBL2581	CHEMBL2349482	3983
CHEMBL2581	CHEMBL1088572	9790
CHEMBL2581	CHEMBL403727	291
CHEMBL2581	CHEMBL398925	6946
CHEMBL2581	CHEMBL1076901	41
CHEMBL2581	CHEMBL568115	2330
CHEMBL2581	CHEMBL190539	1880
CHEMBL2581	CHEMBL2349499	16820
CHEMBL2581	CHEMBL371182	685
CHEMBL2581	CHEMBL2349470	5166
CHEMBL2581	CHEMBL591491	61
CHEMBL2581	CHEMBL445085	570
CHEMBL2581	CHEMBL447563	24
CHEMBL2581	CHEMBL444121	360
CHEMBL2581	CHEMBL1760856	1900
CHEMBL2581	CHEMBL213373	8900
CHEMBL2581	CHEMBL584926	2410
CHEMBL2581	CHEMBL568114	7300
CHEMBL2581	CHEMBL296588	1251.9625
CHEMBL2581	CHEMBL2179140	2000
CHEMBL2581	CHEMBL1760866	670
CHEMBL2581	CHEMBL464887	630
CHEMBL2581	CHEMBL114278	473
CHEMBL2581	CHEMBL1760858	2400
CHEMBL2581	CHEMBL2349613	1176
CHEMBL2581	CHEMBL1941011	44500
CHEMBL2581	CHEMBL591699	3350
CHEMBL2581	CHEMBL2158252	120
CHEMBL2581	CHEMBL566404	26180
CHEMBL2581	CHEMBL565995	2470
CHEMBL2581	CHEMBL252961	4900
CHEMBL2581	CHEMBL2349618	683
CHEMBL2581	CHEMBL33989	63
CHEMBL2581	CHEMBL2048061	2530
CHEMBL2581	CHEMBL2349496	627
CHEMBL2581	CHEMBL364630	481
CHEMBL2581	CHEMBL504140	440
CHEMBL2581	CHEMBL2179131	4300
CHEMBL2581	CHEMBL603119	460
CHEMBL2581	CHEMBL2349494	798
CHEMBL2581	CHEMBL2047910	510
CHEMBL2581	CHEMBL585286	8400
CHEMBL2581	CHEMBL257594	0.5
CHEMBL2581	CHEMBL2047896	1630
CHEMBL2581	CHEMBL585506	4180
CHEMBL2581	CHEMBL2048062	2810
CHEMBL2581	CHEMBL584509	56900
CHEMBL2581	CHEMBL583887	93700
CHEMBL2581	CHEMBL2349615	3462
CHEMBL2581	CHEMBL264770	2.5
CHEMBL2581	CHEMBL1760857	1800
CHEMBL2581	CHEMBL2349493	1085
CHEMBL2581	CHEMBL573106	1100
CHEMBL2581	CHEMBL1098671	50
CHEMBL2581	CHEMBL1098670	50
CHEMBL2581	CHEMBL571319	20780
CHEMBL2581	CHEMBL2158253	9.9
CHEMBL2581	CHEMBL566406	10300
CHEMBL2581	CHEMBL2047912	1050
CHEMBL2581	CHEMBL2349617	185
CHEMBL2581	CHEMBL364446	25
CHEMBL2581	CHEMBL2349506	973
CHEMBL2581	CHEMBL2349497	2292
CHEMBL2581	CHEMBL221454	7620
CHEMBL2581	CHEMBL1941005	21200
CHEMBL2581	CHEMBL591478	130
CHEMBL2581	CHEMBL590830	17100
CHEMBL2581	CHEMBL2158259	36
CHEMBL2581	CHEMBL566212	4430
CHEMBL2581	CHEMBL2047911	980
CHEMBL2581	CHEMBL566198	11530
CHEMBL2581	CHEMBL567477	820
CHEMBL2581	CHEMBL187765	1500
CHEMBL2581	CHEMBL401141	9669
CHEMBL2581	CHEMBL363692	3600
CHEMBL2581	CHEMBL189976	2701
CHEMBL2581	CHEMBL2349495	447
CHEMBL2581	CHEMBL2179137	690
CHEMBL2581	CHEMBL191260	3.2
CHEMBL2581	CHEMBL1760855	1700
CHEMBL2581	CHEMBL598290	54000
CHEMBL2581	CHEMBL212492	4710
CHEMBL2581	CHEMBL377548	110
CHEMBL2581	CHEMBL567893	3000
CHEMBL2581	CHEMBL565790	1870
CHEMBL2581	CHEMBL565378	2190
CHEMBL2581	CHEMBL584917	10900
CHEMBL2581	CHEMBL568506	24900
CHEMBL2581	CHEMBL506251	930
CHEMBL2581	CHEMBL2349492	430
CHEMBL2581	CHEMBL566632	11570
CHEMBL2581	CHEMBL2158255	750
CHEMBL2581	CHEMBL191122	6000
CHEMBL2581	CHEMBL214974	140
CHEMBL2581	CHEMBL598876	30000
CHEMBL2581	CHEMBL2048040	390
CHEMBL2581	CHEMBL191123	430
CHEMBL2581	CHEMBL213300	9000
CHEMBL2581	CHEMBL2047901	1750
CHEMBL2581	CHEMBL500876	780
CHEMBL2581	CHEMBL2349505	2069
CHEMBL2581	CHEMBL191130	0.7
CHEMBL2581	CHEMBL1760853	7100
CHEMBL2581	CHEMBL210240	10
CHEMBL2581	CHEMBL211194	200
CHEMBL2581	CHEMBL578410	69180
CHEMBL2581	CHEMBL566403	23100
CHEMBL2581	CHEMBL584695	2710
CHEMBL2581	CHEMBL213744	12290
CHEMBL2581	CHEMBL585952	27280
CHEMBL2581	CHEMBL585289	3510
CHEMBL2581	CHEMBL584109	14100
CHEMBL2581	CHEMBL402330	30200
CHEMBL2581	CHEMBL2349498	2513
CHEMBL2581	CHEMBL439671	1230
CHEMBL2581	CHEMBL2158256	37
CHEMBL2581	CHEMBL455548	730
CHEMBL2581	CHEMBL211432	20
CHEMBL2581	CHEMBL2158257	240
CHEMBL2581	CHEMBL2069614	300
CHEMBL2581	CHEMBL2048037	4370
CHEMBL2581	CHEMBL208681	50
CHEMBL2581	CHEMBL377149	11
CHEMBL2581	CHEMBL2048052	1230
CHEMBL2581	CHEMBL2047902	1720
CHEMBL2581	CHEMBL584288	18100
CHEMBL2581	CHEMBL1760865	420
CHEMBL2581	CHEMBL1076906	120
CHEMBL2581	CHEMBL1760854	2100
CHEMBL2581	CHEMBL2069613	540
CHEMBL2581	CHEMBL567258	3150
CHEMBL2581	CHEMBL584694	15320
CHEMBL2581	CHEMBL566200	12500
CHEMBL2581	CHEMBL210022	6900
CHEMBL2581	CHEMBL2048053	250
CHEMBL2581	CHEMBL566012	14300
CHEMBL2581	CHEMBL2048059	600
CHEMBL2581	CHEMBL2048050	480
CHEMBL2581	CHEMBL1760861	4700
CHEMBL2581	CHEMBL78946	6
CHEMBL2581	CHEMBL599965	24000
CHEMBL2581	CHEMBL566415	21440
CHEMBL2581	CHEMBL506759	430
CHEMBL2581	CHEMBL2349502	37940
CHEMBL2581	CHEMBL2158258	5000
CHEMBL2581	CHEMBL2048060	1510
CHEMBL2581	CHEMBL2048054	250
CHEMBL2581	CHEMBL2048051	230
CHEMBL2581	CHEMBL212102	6000
