protein	compound	aveaffinty
CHEMBL1908	CHEMBL206550	503
CHEMBL1908	CHEMBL362441	903
CHEMBL1908	CHEMBL500421	31
CHEMBL1908	CHEMBL501740	37796
CHEMBL1908	CHEMBL526339	199
CHEMBL1908	CHEMBL2333329	80.1
CHEMBL1908	CHEMBL2312956	2539
CHEMBL1908	CHEMBL2312966	41
CHEMBL1908	CHEMBL424960	1098
CHEMBL1908	CHEMBL492891	9639
CHEMBL1908	CHEMBL509971	525
CHEMBL1908	CHEMBL2011246	17
CHEMBL1908	CHEMBL176287	304
CHEMBL1908	CHEMBL500665	52
CHEMBL1908	CHEMBL1765215	34
CHEMBL1908	CHEMBL2312948	347
CHEMBL1908	CHEMBL1209626	204
CHEMBL1908	CHEMBL1209557	930
CHEMBL1908	CHEMBL1765214	13
CHEMBL1908	CHEMBL446775	1811
CHEMBL1908	CHEMBL1209627	471
CHEMBL1908	CHEMBL1651497	46
CHEMBL1908	CHEMBL2011433	40
CHEMBL1908	CHEMBL360026	143
CHEMBL1908	CHEMBL2165319	1167
CHEMBL1908	CHEMBL2165320	44
CHEMBL1908	CHEMBL1215664	251
CHEMBL1908	CHEMBL493089	2452
CHEMBL1908	CHEMBL1765217	28546
CHEMBL1908	CHEMBL2163645	110
CHEMBL1908	CHEMBL175799	301
CHEMBL1908	CHEMBL175554	1515
CHEMBL1908	CHEMBL175688	19.5
CHEMBL1908	CHEMBL461457	1977
CHEMBL1908	CHEMBL492892	11307
CHEMBL1908	CHEMBL1209555	544
CHEMBL1908	CHEMBL362187	31.4
CHEMBL1908	CHEMBL2331706	407
CHEMBL1908	CHEMBL500664	114
CHEMBL1908	CHEMBL457858	5402
CHEMBL1908	CHEMBL1214735	422
CHEMBL1908	CHEMBL2312960	646
CHEMBL1908	CHEMBL2312965	16
CHEMBL1908	CHEMBL453169	1521
CHEMBL1908	CHEMBL213587	12
CHEMBL1908	CHEMBL1651502	369
CHEMBL1908	CHEMBL508155	769
CHEMBL1908	CHEMBL425054	2529
CHEMBL1908	CHEMBL175791	955
CHEMBL1908	CHEMBL1428763	500
CHEMBL1908	CHEMBL205250	1615
CHEMBL1908	CHEMBL196328	4481
CHEMBL1908	CHEMBL258097	782
CHEMBL1908	CHEMBL2333334	5.5
CHEMBL1908	CHEMBL2011249	542
CHEMBL1908	CHEMBL1214660	4742
CHEMBL1908	CHEMBL2163652	438
CHEMBL1908	CHEMBL438802	10505
CHEMBL1908	CHEMBL1651514	43
CHEMBL1908	CHEMBL2011432	269
CHEMBL1908	CHEMBL176609	1448
CHEMBL1908	CHEMBL2333336	415.8
CHEMBL1908	CHEMBL197576	2517
CHEMBL1908	CHEMBL179247	11.17
CHEMBL1908	CHEMBL1209556	566
CHEMBL1908	CHEMBL494315	735
CHEMBL1908	CHEMBL1649605	24
CHEMBL1908	CHEMBL2333335	268.4
CHEMBL1908	CHEMBL273205	110
CHEMBL1908	CHEMBL2011247	101
CHEMBL1908	CHEMBL179144	34
CHEMBL1908	CHEMBL1215730	307
CHEMBL1908	CHEMBL1651513	46
CHEMBL1908	CHEMBL451505	6.9
CHEMBL1908	CHEMBL1444873	635
CHEMBL1908	CHEMBL494515	24003
CHEMBL1908	CHEMBL456390	33
CHEMBL1908	CHEMBL446083	742
CHEMBL1908	CHEMBL459071	5952
CHEMBL1908	CHEMBL208471	639
CHEMBL1908	CHEMBL370530	58
CHEMBL1908	CHEMBL207751	763
CHEMBL1908	CHEMBL367719	3.3
CHEMBL1908	CHEMBL195571	2671
CHEMBL1908	CHEMBL2333337	785.3
CHEMBL1908	CHEMBL2011256	502
CHEMBL1908	CHEMBL368305	763
CHEMBL1908	CHEMBL2011255	362
CHEMBL1908	CHEMBL195248	27
CHEMBL1908	CHEMBL176098	206
CHEMBL1908	CHEMBL2010808	611
CHEMBL1908	CHEMBL193343	5419
CHEMBL1908	CHEMBL177692	28.7
CHEMBL1908	CHEMBL1215732	928
CHEMBL1908	CHEMBL371430	2724
CHEMBL1908	CHEMBL511329	580
CHEMBL1908	CHEMBL176118	320
CHEMBL1908	CHEMBL457856	87
CHEMBL1908	CHEMBL425323	2368
CHEMBL1908	CHEMBL174579	23.5
CHEMBL1908	CHEMBL461884	290
CHEMBL1908	CHEMBL457646	339
CHEMBL1908	CHEMBL2165323	16170
CHEMBL1908	CHEMBL2331699	29540
CHEMBL1908	CHEMBL364080	888
CHEMBL1908	CHEMBL1235146	32
CHEMBL1908	CHEMBL2163636	17
CHEMBL1908	CHEMBL2011430	73
CHEMBL1908	CHEMBL2011254	246
CHEMBL1908	CHEMBL1651492	61
CHEMBL1908	CHEMBL457640	1671
CHEMBL1908	CHEMBL2011261	75
CHEMBL1908	CHEMBL2011257	139
CHEMBL1908	CHEMBL177293	26.2
CHEMBL1908	CHEMBL2165324	4087
CHEMBL1908	CHEMBL199683	2896
CHEMBL1908	CHEMBL2165321	139
CHEMBL1908	CHEMBL2011435	76
CHEMBL1908	CHEMBL2011264	62
CHEMBL1908	CHEMBL1651509	80
CHEMBL1908	CHEMBL176886	2697
CHEMBL1908	CHEMBL2011263	362
CHEMBL1908	CHEMBL2011253	42
CHEMBL1908	CHEMBL193556	6338
CHEMBL1908	CHEMBL2165322	1422
CHEMBL1908	CHEMBL381014	4898
CHEMBL1908	CHEMBL1651494	32
CHEMBL1908	CHEMBL193534	2939
CHEMBL1908	CHEMBL194047	96
CHEMBL1908	CHEMBL1215665	522
CHEMBL1908	CHEMBL2011248	106
CHEMBL1908	CHEMBL1651506	75
CHEMBL1908	CHEMBL2011262	126
CHEMBL1908	CHEMBL1209696	182
CHEMBL1908	CHEMBL195629	849
CHEMBL1908	CHEMBL2163637	6.5
CHEMBL1908	CHEMBL460178	1145
CHEMBL1908	CHEMBL205782	2391
CHEMBL1908	CHEMBL2165325	4589
CHEMBL1908	CHEMBL206125	288
CHEMBL1908	CHEMBL2163641	19
CHEMBL1908	CHEMBL448743	819
CHEMBL1908	CHEMBL1651493	48
CHEMBL1908	CHEMBL2163644	27
CHEMBL1908	CHEMBL1209695	234
CHEMBL1908	CHEMBL2011259	1000
CHEMBL1908	CHEMBL196796	691
CHEMBL1908	CHEMBL362968	1577
CHEMBL1908	CHEMBL363849	26
CHEMBL1908	CHEMBL1209775	2
CHEMBL1908	CHEMBL365735	5826
CHEMBL1908	CHEMBL194472	81
CHEMBL1908	CHEMBL2163639	4.66666666666667
CHEMBL1908	CHEMBL370822	207
CHEMBL1908	CHEMBL212741	258
CHEMBL1908	CHEMBL347547	246
CHEMBL1908	CHEMBL372747	2452
CHEMBL1908	CHEMBL2163650	20
CHEMBL1908	CHEMBL194277	7553
CHEMBL1908	CHEMBL2331707	72
CHEMBL1908	CHEMBL1209693	20.6
CHEMBL1908	CHEMBL176101	790
CHEMBL1908	CHEMBL193653	805
CHEMBL1908	CHEMBL2163638	1.4
CHEMBL1908	CHEMBL459970	745
CHEMBL1908	CHEMBL2011258	971
CHEMBL1908	CHEMBL428780	152
CHEMBL1908	CHEMBL2011252	246
CHEMBL1908	CHEMBL1209694	222
CHEMBL1908	CHEMBL462093	3964
CHEMBL1908	CHEMBL2163651	13
CHEMBL1908	CHEMBL462092	13378
CHEMBL1908	CHEMBL1651499	188
CHEMBL1908	CHEMBL1208801	245
CHEMBL1908	CHEMBL459969	4371
CHEMBL1908	CHEMBL1450329	194
CHEMBL1908	CHEMBL2163640	3.4
CHEMBL1908	CHEMBL1651503	197
CHEMBL1908	CHEMBL461458	4921
CHEMBL1908	CHEMBL461885	5970
CHEMBL1908	CHEMBL195996	1317
CHEMBL1908	CHEMBL1651498	128
