protein	compound	aveaffinty
CHEMBL205	CHEMBL193389	7900
CHEMBL205	CHEMBL176283	18
CHEMBL205	CHEMBL2047843	129.61
CHEMBL205	CHEMBL589354	11400
CHEMBL205	CHEMBL2010993	75
CHEMBL205	CHEMBL606453	18
CHEMBL205	CHEMBL466234	6.8
CHEMBL205	CHEMBL193635	473
CHEMBL205	CHEMBL500977	950
CHEMBL205	CHEMBL418	21134.3333333333
CHEMBL205	CHEMBL607824	1940
CHEMBL205	CHEMBL24259	49.1
CHEMBL205	CHEMBL2334353	78900
CHEMBL205	CHEMBL187274	21
CHEMBL205	CHEMBL183153	278
CHEMBL205	CHEMBL1085092	237
CHEMBL205	CHEMBL1084702	233
CHEMBL205	CHEMBL88232	8
CHEMBL205	CHEMBL1089371	7.8
CHEMBL205	CHEMBL1083381	142
CHEMBL205	CHEMBL2070206	4550
CHEMBL205	CHEMBL750	1597.56
CHEMBL205	CHEMBL1055	407.5
CHEMBL205	CHEMBL2048919	3640
CHEMBL205	CHEMBL121	4069
CHEMBL205	CHEMBL567544	40200
CHEMBL205	CHEMBL568854	14
CHEMBL205	CHEMBL2333417	17
CHEMBL205	CHEMBL361421	84.2
CHEMBL205	CHEMBL1688309	58.65
CHEMBL205	CHEMBL182440	8
CHEMBL205	CHEMBL734	47000
CHEMBL205	CHEMBL467	28000
CHEMBL205	CHEMBL2333972	1400
CHEMBL205	CHEMBL2333976	5176
CHEMBL205	CHEMBL1271585	100
CHEMBL205	CHEMBL1271530	1000
CHEMBL205	CHEMBL517222	12100
CHEMBL205	CHEMBL2010996	24
CHEMBL205	CHEMBL215548	6100
CHEMBL205	CHEMBL1836400	5220
CHEMBL205	CHEMBL183442	3.8
CHEMBL205	CHEMBL2172749	9590
CHEMBL205	CHEMBL1813208	368
CHEMBL205	CHEMBL468945	7.8
CHEMBL205	CHEMBL2164736	55.5
CHEMBL205	CHEMBL2164729	98.5
CHEMBL205	CHEMBL1778439	71
CHEMBL205	CHEMBL2164735	71
CHEMBL205	CHEMBL2164734	72
CHEMBL205	CHEMBL570125	3920
CHEMBL205	CHEMBL1165695	117
