protein	compound	aveaffinty
CHEMBL1836	CHEMBL255422	0.31
CHEMBL1836	CHEMBL271095	8.69
CHEMBL1836	CHEMBL272571	84.9
CHEMBL1836	CHEMBL385955	2572
CHEMBL1836	CHEMBL271488	27
CHEMBL1836	CHEMBL257658	9
CHEMBL1836	CHEMBL272363	2.54
CHEMBL1836	CHEMBL1669008	8.5
CHEMBL1836	CHEMBL565992	10172
CHEMBL1836	CHEMBL189378	50
CHEMBL1836	CHEMBL1093791	15100
CHEMBL1836	CHEMBL272969	490
CHEMBL1836	CHEMBL257886	7.7
CHEMBL1836	CHEMBL256873	1.21
CHEMBL1836	CHEMBL191898	43
CHEMBL1836	CHEMBL255527	14.625
CHEMBL1836	CHEMBL482330	7500
CHEMBL1836	CHEMBL1669010	8.65
CHEMBL1836	CHEMBL180742	930
CHEMBL1836	CHEMBL180343	440
CHEMBL1836	CHEMBL192303	80
CHEMBL1836	CHEMBL180191	6313
CHEMBL1836	CHEMBL482018	20800
CHEMBL1836	CHEMBL221946	900
CHEMBL1836	CHEMBL180752	1700
CHEMBL1836	CHEMBL1910024	63
CHEMBL1836	CHEMBL132589	1020
CHEMBL1836	CHEMBL1093125	8700
CHEMBL1836	CHEMBL217941	8000
CHEMBL1836	CHEMBL1093792	2300
CHEMBL1836	CHEMBL1910023	4
CHEMBL1836	CHEMBL371394	0.68
CHEMBL1836	CHEMBL815	4200
CHEMBL1836	CHEMBL479664	7700
CHEMBL1836	CHEMBL1086490	0.31
CHEMBL1836	CHEMBL1910022	2
CHEMBL1836	CHEMBL190185	8.4
CHEMBL1836	CHEMBL2164609	9448
CHEMBL1836	CHEMBL1669013	9.25
CHEMBL1836	CHEMBL444800	25.4
CHEMBL1836	CHEMBL1669012	17.7
CHEMBL1836	CHEMBL1084553	0.62
CHEMBL1836	CHEMBL218123	2000
CHEMBL1836	CHEMBL405446	1.42
CHEMBL1836	CHEMBL384878	1500
CHEMBL1836	CHEMBL251294	1.75
CHEMBL1836	CHEMBL181691	4300
CHEMBL1836	CHEMBL1083400	0.44
CHEMBL1836	CHEMBL426387	4400
CHEMBL1836	CHEMBL1669011	25.5
CHEMBL1836	CHEMBL123794	1900
CHEMBL1836	CHEMBL249342	68
CHEMBL1836	CHEMBL249539	59
CHEMBL1836	CHEMBL404413	2000
CHEMBL1836	CHEMBL249538	13
CHEMBL1836	CHEMBL249745	330
CHEMBL1836	CHEMBL193236	240
CHEMBL1836	CHEMBL257217	1
CHEMBL1836	CHEMBL403492	301
CHEMBL1836	CHEMBL180389	1600
CHEMBL1836	CHEMBL1669009	13.4
CHEMBL1836	CHEMBL363800	7200
CHEMBL1836	CHEMBL2164608	3183
CHEMBL1836	CHEMBL256822	2.375
CHEMBL1836	CHEMBL1645155	0.37
CHEMBL1836	CHEMBL1669018	10.3
CHEMBL1836	CHEMBL272277	2
CHEMBL1836	CHEMBL591666	6.255
CHEMBL1836	CHEMBL249744	18
CHEMBL1836	CHEMBL398948	145
CHEMBL1836	CHEMBL597997	4.17666666666667
CHEMBL1836	CHEMBL601299	0.72
CHEMBL1836	CHEMBL192729	0.91
CHEMBL1836	CHEMBL191638	0.3
CHEMBL1836	CHEMBL360290	1000
CHEMBL1836	CHEMBL181035	2800
CHEMBL1836	CHEMBL1910025	27
CHEMBL1836	CHEMBL1669025	15
CHEMBL1836	CHEMBL385396	1500
CHEMBL1836	CHEMBL1669017	14.25
CHEMBL1836	CHEMBL1084551	4.8
CHEMBL1836	CHEMBL1085041	2.4
CHEMBL1836	CHEMBL251504	181
CHEMBL1836	CHEMBL271070	190.215
CHEMBL1836	CHEMBL218228	1000
CHEMBL1836	CHEMBL192613	5.5
CHEMBL1836	CHEMBL272498	13.18
CHEMBL1836	CHEMBL1669014	6.15
CHEMBL1836	CHEMBL180089	2400
CHEMBL1836	CHEMBL1669016	32.2
CHEMBL1836	CHEMBL404414	27
CHEMBL1836	CHEMBL1669026	11.1
CHEMBL1836	CHEMBL1083746	39.5
CHEMBL1836	CHEMBL256005	331.65
CHEMBL1836	CHEMBL1083445	20.1
CHEMBL1836	CHEMBL1084009	0.285
CHEMBL1836	CHEMBL565591	8039
CHEMBL1836	CHEMBL2096894	443
CHEMBL1836	CHEMBL404199	1.195
CHEMBL1836	CHEMBL183919	620
CHEMBL1836	CHEMBL249341	6000
CHEMBL1836	CHEMBL402162	2.17
CHEMBL1836	CHEMBL1669006	15.65
CHEMBL1836	CHEMBL400446	36
CHEMBL1836	CHEMBL249540	57
CHEMBL1836	CHEMBL404440	801.2
CHEMBL1836	CHEMBL398827	26
CHEMBL1836	CHEMBL1084047	56
CHEMBL1836	CHEMBL251710	24
CHEMBL1836	CHEMBL424975	2900
CHEMBL1836	CHEMBL1669015	20.55
CHEMBL1836	CHEMBL1645154	0.66
CHEMBL1836	CHEMBL1645152	1
CHEMBL1836	CHEMBL404653	7.9
CHEMBL1836	CHEMBL423815	13000
CHEMBL1836	CHEMBL1669005	12.15
CHEMBL1836	CHEMBL1085040	0.81
CHEMBL1836	CHEMBL251505	4
CHEMBL1836	CHEMBL251709	25
CHEMBL1836	CHEMBL218699	18.635
CHEMBL1836	CHEMBL256183	600.19
CHEMBL1836	CHEMBL255529	2.615
CHEMBL1836	CHEMBL1645149	6.7
CHEMBL1836	CHEMBL1645147	14
CHEMBL1836	CHEMBL1669024	42.3
CHEMBL1836	CHEMBL256220	19.185
CHEMBL1836	CHEMBL1669003	55.95
CHEMBL1836	CHEMBL1081186	18600
CHEMBL1836	CHEMBL270223	6.475
CHEMBL1836	CHEMBL1645153	0.4
