protein	compound	aveaffinty
CHEMBL3227	CHEMBL1289112	1300
CHEMBL3227	CHEMBL2069383	3200
CHEMBL3227	CHEMBL2069381	384
CHEMBL3227	CHEMBL1705644	350
CHEMBL3227	CHEMBL1779881	466
CHEMBL3227	CHEMBL1779992	366.5
CHEMBL3227	CHEMBL2069375	4800
CHEMBL3227	CHEMBL366217	275
CHEMBL3227	CHEMBL1290547	1100
CHEMBL3227	CHEMBL397393	1500
CHEMBL3227	CHEMBL1682810	56.7
CHEMBL3227	CHEMBL2069384	390
CHEMBL3227	CHEMBL1779884	924
CHEMBL3227	CHEMBL2069376	1700
CHEMBL3227	CHEMBL1682809	307.8
CHEMBL3227	CHEMBL1779851	4408
CHEMBL3227	CHEMBL1779879	1426
CHEMBL3227	CHEMBL1289465	370
CHEMBL3227	CHEMBL1779882	1623
CHEMBL3227	CHEMBL1682804	15.8
CHEMBL3227	CHEMBL248356	5700
CHEMBL3227	CHEMBL1682806	37.2
CHEMBL3227	CHEMBL1257503	129
CHEMBL3227	CHEMBL1257504	57
CHEMBL3227	CHEMBL1779885	6095.5
CHEMBL3227	CHEMBL1682807	17.4
CHEMBL3227	CHEMBL1289349	680
CHEMBL3227	CHEMBL2069374	170
CHEMBL3227	CHEMBL2069382	240
CHEMBL3227	CHEMBL1290109	1090
CHEMBL3227	CHEMBL2069373	630
CHEMBL3227	CHEMBL190270	130
CHEMBL3227	CHEMBL1808871	191.5
CHEMBL3227	CHEMBL1779880	6235
CHEMBL3227	CHEMBL1257274	54
CHEMBL3227	CHEMBL246935	930
CHEMBL3227	CHEMBL1779845	3913.5
CHEMBL3227	CHEMBL381764	51
CHEMBL3227	CHEMBL1289232	240
CHEMBL3227	CHEMBL2069379	1300
CHEMBL3227	CHEMBL1290549	350
CHEMBL3227	CHEMBL1808898	1660
CHEMBL3227	CHEMBL1808897	445
CHEMBL3227	CHEMBL1808899	97
CHEMBL3227	CHEMBL1808867	72.5
CHEMBL3227	CHEMBL1682808	216.3
CHEMBL3227	CHEMBL246518	13900
CHEMBL3227	CHEMBL1682805	108.4
CHEMBL3227	CHEMBL1779878	748
CHEMBL3227	CHEMBL1257395	153
CHEMBL3227	CHEMBL1806522	190
CHEMBL3227	CHEMBL1289347	4600
CHEMBL3227	CHEMBL1289574	800
CHEMBL3227	CHEMBL2071582	1100
CHEMBL3227	CHEMBL201943	0.37
CHEMBL3227	CHEMBL1257273	28
CHEMBL3227	CHEMBL1808872	16.5
CHEMBL3227	CHEMBL206422	4.7
CHEMBL3227	CHEMBL1808875	65
CHEMBL3227	CHEMBL1808876	132
CHEMBL3227	CHEMBL246724	1500
CHEMBL3227	CHEMBL1682802	566.7
CHEMBL3227	CHEMBL395389	720
CHEMBL3227	CHEMBL1257396	346
CHEMBL3227	CHEMBL1257505	16
CHEMBL3227	CHEMBL2069380	3400
CHEMBL3227	CHEMBL1779844	3581
CHEMBL3227	CHEMBL1808869	290.5
CHEMBL3227	CHEMBL1289233	180
CHEMBL3227	CHEMBL1290444	210
CHEMBL3227	CHEMBL1808900	135
CHEMBL3227	CHEMBL191147	10
CHEMBL3227	CHEMBL1083034	204.17
CHEMBL3227	CHEMBL1808874	76.5
CHEMBL3227	CHEMBL1808868	59.5
CHEMBL3227	CHEMBL1682789	30.2
CHEMBL3227	CHEMBL1808901	14.5
CHEMBL3227	CHEMBL1290668	1100
CHEMBL3227	CHEMBL1289113	1460
